County Name,County Geography,CRF to County,CRF to Hospitals,PRF,Public K12,Higher Ed,EIDL,EIDL-A,PPP GT 150,PPP LT 150,JRG,RRL,ECG,Total to Local Governments,Total to Health Providers,Total Education,Total Business Loans,Running total,# EIDL,# EIDL-A,# PPP GT 150,# PPP LT 150,# JRG,# Golden LEAF,# ECG
Alamance,"Alamance County, NC",6297788.67,188460.00,7272664.00,37005218.00,16381479.94,38172400.00,5084000.00,163025000.00,56519116.05,1610988.31,1169500.00,6285605.00,6297788.67,7461124.00,53386697.94,265581004.36,332726614.97,684,"1,500",227,"1,610",8,20,"18,763"
Alexander,"Alexander County, NC",1587828.27,0.00,1273095.00,6209821.00,0.00,4522000.00,741000.00,18125000.00,6844282.96,230417.67,255000.00,1283720.00,1587828.27,1273095.00,6209821.00,30717700.63,39788444.90,94,256,26,211,1,2,"3,832"
Alleghany,"Alleghany County, NC",647348.95,426614.00,3871789.00,2523185.00,0.00,2623000.00,378000.00,5775000.00,3936337.34,0.00,26900.00,313895.00,647348.95,4298403.00,2523185.00,12739237.34,20208174.29,59,114,8,177,0,1,937
Anson,"Anson County, NC",1122191.10,358023.00,2611859.00,6511030.00,3542499.00,2671900.00,369000.00,10450000.00,5268892.04,251293.96,19000.00,872675.00,1122191.10,2969882.00,10053529.00,19030086.00,33175688.10,58,122,17,203,2,1,"2,605"
Ashe,"Ashe County, NC",1220556.11,543243.00,6545856.00,4938372.00,0.00,5881300.00,818000.00,20800000.00,7920307.66,0.00,277542.29,736330.00,1220556.11,7089099.00,4938372.00,35697149.95,48945177.06,124,273,31,311,0,3,"2,198"
Avery,"Avery County, NC",876403.47,494868.00,5381326.00,4913750.00,0.00,5937200.00,748000.00,18725000.00,9467709.32,0.00,87000.00,428130.00,876403.47,5876194.00,4913750.00,34964909.32,46631256.79,128,245,35,280,0,1,"1,278"
Beaufort,"Beaufort County, NC",1926664.84,741566.00,14088150.00,11955843.00,2614644.00,13179600.00,1594000.00,34700000.00,19333638.66,521352.71,601053.47,1652220.00,1926664.84,14829716.00,14570487.00,69929644.84,101256512.68,214,457,66,527,3,7,"4,932"
Bertie,"Bertie County, NC",925996.27,462286.00,5864384.00,6314956.00,0.00,3016600.00,425000.00,7950000.00,4473712.57,0.00,5100.00,665645.00,925996.27,6326670.00,6314956.00,15870412.57,29438034.84,55,116,20,134,0,1,"1,987"
Bladen,"Bladen County, NC",1417464.51,570520.00,956068.00,13451666.00,3347674.00,7442800.00,933000.00,9125000.00,8333145.12,250000.00,334000.00,1152735.00,1417464.51,1526588.00,16799340.00,26417945.12,46161337.62,127,282,23,233,1,5,"3,441"
Brunswick,"Brunswick County, NC",5345571.20,734581.00,10715921.00,19432611.00,2826591.00,40727200.00,4618000.00,60400000.00,43986056.52,295832.98,1197079.97,3312815.00,5345571.20,11450502.00,22259202.00,151224169.47,190279444.67,759,"1,496",131,"1,306",3,16,"9,889"
Buncombe,"Buncombe County, NC",9568844.26,1224214.00,63138595.00,40560131.00,27265074.22,134901000.00,14537000.00,345400000.00,139348129.56,1481638.70,11056134.59,7433650.00,9568844.26,64362809.00,67825205.22,646723902.85,788480761.33,"2,286","4,633",604,"4,303",10,181,"22,190"
Burke,"Burke County, NC",3478348.69,2514452.00,10087000.00,17301872.00,3820429.00,10144500.00,1676000.00,66200000.00,20077126.76,784448.27,363628.00,2787535.00,3478348.69,12601452.00,21122301.00,99245703.03,136447804.72,203,480,72,537,7,5,"8,321"
Cabarrus,"Cabarrus County, NC",7972669.60,471438.00,10972433.00,36271006.00,1272825.70,60337700.00,7470000.00,146975000.00,72085568.34,1099099.51,675860.00,8674155.00,7972669.60,11443871.00,37543831.70,288643227.85,345603600.15,"1,053","2,368",277,"2,162",8,10,"25,893"
Caldwell,"Caldwell County, NC",3181969.26,928639.00,5215769.00,15043723.00,5993245.00,8807000.00,1520000.00,40350000.00,16649740.71,529284.56,125700.00,2782510.00,3181969.26,6144408.00,21036968.00,67981725.27,98345070.53,197,435,68,473,3,3,"8,306"
Camden,"Camden County, NC",637715.81,0.00,747268.00,1222530.00,0.00,1457300.00,251000.00,1175000.00,2118429.67,0.00,0.00,346055.00,637715.81,747268.00,1222530.00,5001729.67,7609243.48,30,75,3,59,0,0,"1,033"
Carteret,"Carteret County, NC",2728676.78,1163152.00,15523303.00,10108321.00,2680724.00,26154400.00,3178000.00,38775000.00,32085607.25,60422.88,308900.00,1810675.00,2728676.78,16686455.00,12789045.00,100562330.13,132766506.91,465,949,91,846,3,8,"5,405"
Caswell,"Caswell County, NC",1056471.72,0.00,2718524.00,4650063.00,0.00,2378200.00,326000.00,5200000.00,2414998.56,0.00,54500.00,731305.00,1056471.72,2718524.00,4650063.00,10373698.56,18798757.28,50,112,9,97,0,2,"2,183"
Catawba,"Catawba County, NC",5942504.00,1470158.00,46735673.00,29144100.00,15279752.42,43489500.00,5669000.00,227500000.00,64314978.09,1234486.39,1453392.78,5920120.00,5942504.00,48205831.00,44423852.42,343661357.26,442233544.68,712,"1,595",345,"1,764",9,17,"17,672"
Chatham,"Chatham County, NC",2906961.12,567664.00,2768891.00,9633302.00,0.00,17513300.00,1957000.00,20425000.00,16456081.02,250000.00,1035946.46,2352705.00,2906961.12,3336555.00,9633302.00,57637327.48,73514145.60,304,609,43,518,1,13,"7,023"
Cherokee,"Cherokee County, NC",1270826.80,795457.00,8148098.00,5762273.00,1793835.00,5767500.00,894000.00,6450000.00,7776384.47,262201.44,170100.00,734320.00,1270826.80,8943555.00,7556108.00,21320185.91,39090675.71,136,310,14,279,2,2,"2,192"
Chowan,"Chowan County, NC",747462.18,664551.00,6292573.00,3582336.00,0.00,2849200.00,309000.00,8450000.00,5096126.69,28127.04,217500.00,482400.00,747462.18,6957124.00,3582336.00,16949953.73,28236875.91,48,91,14,139,2,3,"1,440"
Clay,"Clay County, NC",650702.70,0.00,1144393.00,2029053.00,0.00,2753100.00,394000.00,7775000.00,4163626.52,0.00,120000.00,281400.00,650702.70,1144393.00,2029053.00,15205726.52,19029875.22,59,120,13,132,0,1,840
Cleveland,"Cleveland County, NC",3744579.98,1939179.00,3651884.00,26359212.00,11053374.18,14745000.00,2415000.00,66450000.00,27923661.64,756988.47,370500.00,3682320.00,3744579.98,5591063.00,37412586.18,112661150.11,159409379.26,299,669,111,786,4,9,"10,992"
Columbus,"Columbus County, NC",2230429.67,735637.00,19753589.00,20037377.00,3678382.00,11622400.00,1390000.00,20550000.00,12288017.26,66791.99,129628.00,1949030.00,2230429.67,20489226.00,23715759.00,46046837.25,92482251.92,205,436,45,387,2,5,"5,818"
Craven,"Craven County, NC",3894143.30,2742195.00,22224742.00,23569059.00,5195135.00,18061500.00,2556000.00,72200000.00,30806617.50,506797.63,652743.75,3091380.00,3894143.30,24966937.00,28764194.00,124783658.88,182408933.18,366,748,135,814,3,8,"9,228"
