"","STCNTY","STATE","COUNTY"
"1",1001,"ALABAMA","AUTAUGA"
"2",1003,"ALABAMA","BALDWIN"
"3",1005,"ALABAMA","BARBOUR"
"4",1007,"ALABAMA","BIBB"
"5",1009,"ALABAMA","BLOUNT"
"6",1011,"ALABAMA","BULLOCK"
"7",1013,"ALABAMA","BUTLER"
"8",1015,"ALABAMA","CALHOUN"
"9",1017,"ALABAMA","CHAMBERS"
"10",1019,"ALABAMA","CHEROKEE"
"11",1021,"ALABAMA","CHILTON"
"12",1023,"ALABAMA","CHOCTAW"
"13",1025,"ALABAMA","CLARKE"
"14",1027,"ALABAMA","CLAY"
"15",1029,"ALABAMA","CLEBURNE"
"16",1031,"ALABAMA","COFFEE"
"17",1033,"ALABAMA","COLBERT"
"18",1035,"ALABAMA","CONECUH"
"19",1037,"ALABAMA","COOSA"
"20",1039,"ALABAMA","COVINGTON"
"21",1041,"ALABAMA","CRENSHAW"
"22",1043,"ALABAMA","CULLMAN"
"23",1045,"ALABAMA","DALE"
"24",1047,"ALABAMA","DALLAS"
"25",1049,"ALABAMA","DEKALB"
"26",1051,"ALABAMA","ELMORE"
"27",1053,"ALABAMA","ESCAMBIA"
"28",1055,"ALABAMA","ETOWAH"
"29",1057,"ALABAMA","FAYETTE"
"30",1059,"ALABAMA","FRANKLIN"
"31",1061,"ALABAMA","GENEVA"
"32",1063,"ALABAMA","GREENE"
"33",1065,"ALABAMA","HALE"
"34",1067,"ALABAMA","HENRY"
"35",1069,"ALABAMA","HOUSTON"
"36",1071,"ALABAMA","JACKSON"
"37",1073,"ALABAMA","JEFFERSON"
"38",1075,"ALABAMA","LAMAR"
"39",1077,"ALABAMA","LAUDERDALE"
"40",1079,"ALABAMA","LAWRENCE"
"41",1081,"ALABAMA","LEE"
"42",1083,"ALABAMA","LIMESTONE"
"43",1085,"ALABAMA","LOWNDES"
"44",1087,"ALABAMA","MACON"
"45",1089,"ALABAMA","MADISON"
"46",1091,"ALABAMA","MARENGO"
"47",1093,"ALABAMA","MARION"
"48",1095,"ALABAMA","MARSHALL"
"49",1097,"ALABAMA","MOBILE"
"50",1099,"ALABAMA","MONROE"
"51",1101,"ALABAMA","MONTGOMERY"
"52",1103,"ALABAMA","MORGAN"
"53",1105,"ALABAMA","PERRY"
"54",1107,"ALABAMA","PICKENS"
"55",1109,"ALABAMA","PIKE"
"56",1111,"ALABAMA","RANDOLPH"
"57",1113,"ALABAMA","RUSSELL"
"58",1115,"ALABAMA","ST. CLAIR"
"59",1117,"ALABAMA","SHELBY"
"60",1119,"ALABAMA","SUMTER"
"61",1121,"ALABAMA","TALLADEGA"
"62",1123,"ALABAMA","TALLAPOOSA"
"63",1125,"ALABAMA","TUSCALOOSA"
"64",1127,"ALABAMA","WALKER"
"65",1129,"ALABAMA","WASHINGTON"
"66",1131,"ALABAMA","WILCOX"
"67",1133,"ALABAMA","WINSTON"
"68",2013,"ALASKA","ALEUTIANS EAST BOROUGH"
"69",2016,"ALASKA","ALEUTIANS WEST CENSUS AREA"
"70",2020,"ALASKA","ANCHORAGE MUNICIPALITY"
"71",2050,"ALASKA","BETHEL CENSUS AREA"
"72",2060,"ALASKA","BRISTOL BAY BOROUGH"
"73",2068,"ALASKA","DENALI BOROUGH"
"74",2070,"ALASKA","DILLINGHAM CENSUS AREA"
"75",2090,"ALASKA","FAIRBANKS NORTH STAR BOROUGH"
"76",2100,"ALASKA","HAINES BOROUGH"
"77",2105,"ALASKA","HOONAH-ANGOON CENSUS AREA"
