"","STATE","COUNTY","CE_TOTPOP","CRPL_THEMES","Running.total"
"1","NORTH CAROLINA","ALAMANCE",153713,0.883158229863101,332726614.97
"2","NORTH CAROLINA","ALEXANDER",37175,0.495702005730659,39788444.9
"3","NORTH CAROLINA","ALLEGHANY",10974,0.664756446991404,20208174.29
"4","NORTH CAROLINA","ANSON",26309,0.958293537090099,33175688.1
"5","NORTH CAROLINA","ASHE",27173,0.542820757720471,48945177.06
"6","NORTH CAROLINA","AVERY",17739,0.693728112066221,46631256.79
"7","NORTH CAROLINA","BEAUFORT",47587,0.798153454313913,101256512.68
"8","NORTH CAROLINA","BERTIE",20677,0.938872970391595,29438034.84
"9","NORTH CAROLINA","BLADEN",34915,0.989493791786055,46161337.62
"10","NORTH CAROLINA","BRUNSWICK",112907,0.474371219356893,190279444.67
"11","NORTH CAROLINA","BUNCOMBE",244599,0.596306908627826,788480761.33
"12","NORTH CAROLINA","BURKE",90164,0.930276981852913,136447804.72
"13","NORTH CAROLINA","CABARRUS",184855,0.581025151225724,345603600.15
"14","NORTH CAROLINA","CALDWELL",82140,0.576886341929322,98345070.53
"15","NORTH CAROLINA","CAMDEN",10127,0.465138490926457,7609243.48
"16","NORTH CAROLINA","CARTERET",67851,0.771092008914358,132766506.91
"17","NORTH CAROLINA","CASWELL",23357,0.891435848455906,18798757.28
"18","NORTH CAROLINA","CATAWBA",154457,0.686723973256925,442233544.68
"19","NORTH CAROLINA","CHATHAM",66050,0.598217128303088,73514145.6
"20","NORTH CAROLINA","CHEROKEE",27156,0.36230499840815,39090675.71
"21","NORTH CAROLINA","CHOWAN",14703,0.964342566061764,28236875.91
"22","NORTH CAROLINA","CLAY",10616,0.323145495065266,19029875.22
"23","NORTH CAROLINA","CLEVELAND",97464,0.809614772365489,159409379.26
"24","NORTH CAROLINA","COLUMBUS",57512,0.9471505889844,92482251.92
"25","NORTH CAROLINA","CRAVEN",104574,0.889207258834766,182408933.18
"26","NORTH CAROLINA","CUMBERLAND",324002,0.859917223814072,653112689.52
"27","NORTH CAROLINA","CURRITUCK",24212,0.122890799108564,36708620.18
"28","NORTH CAROLINA","DARE",34530,0.187519898121617,138299529.12
"29","NORTH CAROLINA","DAVIDSON",163545,0.516396052212671,238219690.37
"30","NORTH CAROLINA","DAVIE",41411,0.410060490289717,56972372.23
"31","NORTH CAROLINA","DUPLIN",59455,0.991085641515441,101857505.88
"32","NORTH CAROLINA","DURHAM",282422,0.775549188156638,1030825742.97
"33","NORTH CAROLINA","EDGECOMBE",55779,0.990448901623687,89679539.34
"34","NORTH CAROLINA","FORSYTH",358130,0.67398917542184,1069851054.76
"35","NORTH CAROLINA","FRANKLIN",61723,0.755810251512257,82702254.4
"36","NORTH CAROLINA","GASTON",208379,0.86119070359758,414881156.84
"37","NORTH CAROLINA","GATES",11877,0.456542502387775,8259849.63
"38","NORTH CAROLINA","GRAHAM",8743,0.509710283349252,14464685.64
"39","NORTH CAROLINA","GRANVILLE",57955,0.87551735116205,81312285.34
"40","NORTH CAROLINA","GREENE",21353,0.969436485195798,24421111.97
"41","NORTH CAROLINA","GUILFORD",500899,0.605858007004139,1848412130.44
"42","NORTH CAROLINA","HALIFAX",53803,0.915950334288443,96442156.55
"43","NORTH CAROLINA","HARNETT",121789,0.780961477236549,180889347.26
"44","NORTH CAROLINA","HAYWOOD",59012,0.277936962750716,92162153.59
"45","NORTH CAROLINA","HENDERSON",108642,0.327284304361668,241876052.58
"46","NORTH CAROLINA","HERTFORD",24460,0.992359121298949,74021926.3
"47","NORTH CAROLINA","HOKE",50034,0.899395097102833,40118152.5
"48","NORTH CAROLINA","HYDE",5757,0.680356574339382,8812037.71
"49","NORTH CAROLINA","IREDELL",162999,0.562241324418975,430068034.76
"50","NORTH CAROLINA","JACKSON",40598,0.582935370900987,104567760.67
"51","NORTH CAROLINA","JOHNSTON",175343,0.696275071633238,247778798.74
"52","NORTH CAROLINA","JONES",10184,0.842406876790831,9167783.54
"53","NORTH CAROLINA","LEE",59096,0.93282394141993,127033844.92
"54","NORTH CAROLINA","LENOIR",59095,0.99013053167781,113952685.63
"55","NORTH CAROLINA","LINCOLN",79041,0.500159184972939,128137873.68
"56","NORTH CAROLINA","MCDOWELL",44982,0.846545686087233,49588980.27
"57","NORTH CAROLINA","MACON",33840,0.66634829672079,61038130.37
"58","NORTH CAROLINA","MADISON",20951,0.545686087233365,27815959.57
"59","NORTH CAROLINA","MARTIN",23947,0.773320598535498,28595734.84
"60","NORTH CAROLINA","MECKLENBURG",968500,0.731614135625597,4009200475.17
"61","NORTH CAROLINA","MITCHELL",15380,0.679719834447628,22520864.24
"62","NORTH CAROLINA","MONTGOMERY",27626,0.98344476281439,40250814.94
"63","NORTH CAROLINA","MOORE",90579,0.594396688952563,232085573
"64","NORTH CAROLINA","NASH",95174,0.921680993314231,209095749.52
"65","NORTH CAROLINA","NEW HANOVER",209586,0.43616682585164,739131790.61
"66","NORTH CAROLINA","NORTHAMPTON",21310,0.979624323463865,26207563.05
"67","NORTH CAROLINA","ONSLOW",182921,0.634829672078956,234034618.31
"68","NORTH CAROLINA","ORANGE",137275,0.595670168736071,446406747.57
"69","NORTH CAROLINA","PAMLICO",13062,0.592168099331423,13508195.52
"70","NORTH CAROLINA","PASQUOTANK",40233,0.913403374721426,86469507.78
"71","NORTH CAROLINA","PENDER",54218,0.803884113339701,79214035.72
"72","NORTH CAROLINA","PERQUIMANS",13507,0.772365488697867,14631230.09
"73","NORTH CAROLINA","PERSON",39303,0.87774594078319,52044160.81
"74","NORTH CAROLINA","PITT",172438,0.678764724609997,447372954.85
"75","NORTH CAROLINA","POLK",20352,0.543457497612225,35735148.61
"76","NORTH CAROLINA","RANDOLPH",142276,0.697230181470869,224893968.39
"77","NORTH CAROLINA","RICHMOND",46317,0.967207895574658,55990611.72
"78","NORTH CAROLINA","ROBESON",134913,0.998726520216492,242459858.33
"79","NORTH CAROLINA","ROCKINGHAM",92602,0.727475326329195,103726691.47
"80","NORTH CAROLINA","ROWAN",138246,0.896211397644062,251890505.18
"81","NORTH CAROLINA","RUTHERFORD",67181,0.799426934097421,99443297.24
"82","NORTH CAROLINA","SAMPSON",63842,0.991722381407195,101855631.58
"83","NORTH CAROLINA","SCOTLAND",36034,0.985354982489653,68238690.79
"84","NORTH CAROLINA","STANLY",60553,0.774594078319007,109895992.39
"85","NORTH CAROLINA","STOKES",46858,0.488379496975485,36328403.79
"86","NORTH CAROLINA","SURRY",73391,0.835084368035657,160661595.69
"87","NORTH CAROLINA","SWAIN",14070,0.64756446991404,32724032.74
"88","NORTH CAROLINA","TRANSYLVANIA",32943,0.335561922954473,55198539.68
"89","NORTH CAROLINA","TYRRELL",4219,0.828398599172238,5372757.37
"90","NORTH CAROLINA","UNION",209387,0.349888570518943,413981106.92
"91","NORTH CAROLINA","VANCE",44998,0.994269340974212,95825837.93
"92","NORTH CAROLINA","WAKE",952513,0.471505889843999,3256406273.73
"93","NORTH CAROLINA","WARREN",20628,0.9735752944922,14197954.12
"94","NORTH CAROLINA","WASHINGTON",12837,0.833174148360395,18495361.6
"95","NORTH CAROLINA","WATAUGA",51903,0.501751034702324,162086972.42
"96","NORTH CAROLINA","WAYNE",124093,0.98567335243553,212154240.64
"97","NORTH CAROLINA","WILKES",69093,0.83922317733206,88684360.64
"98","NORTH CAROLINA","WILSON",81499,0.988538681948424,186884708.26
"99","NORTH CAROLINA","YADKIN",38101,0.719834447628144,44660357.2
"100","NORTH CAROLINA","YANCEY",17662,0.657752308182108,18736900.61
