"","Date","FIPS","MMWR_week","Recip_County","Recip_State","Series_Complete_Pop_Pct","Series_Complete_Yes","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Pop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","SVI_CTGY","Series_Complete_Pop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Metro_status","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"1","09/27/2021","08095",39,"Phillips County","CO",43.5,1856,1853,51.3,1807,55.9,639,64.4,97.4,2147,50.3,2142,59.3,2083,64.4,764,76.9,"B",7,8,8,7,"Non-metro",7,8,8,7
"2","09/27/2021","22035",39,"East Carroll Parish","LA",38.5,2642,2642,45.8,2521,48.3,853,81.5,96.6,2944,42.9,2944,51.1,2792,53.5,893,85.3,"D",14,15,15,16,"Non-metro",6,7,7,8
"3","09/27/2021","26025",39,"Calhoun County","MI",43.4,58252,58252,51,55301,53.3,18633,76.3,94.4,59192,44.1,59189,51.8,57120,55,19597,80.2,"C",11,12,12,12,"Metro",3,4,4,4
"4","09/27/2021","37005",39,"Alleghany County","NC",48.8,5432,5430,54.8,5310,57.4,2281,73.2,96.4,6757,60.7,6753,68.1,6562,70.9,2717,87.2,"C",11,12,12,12,"Non-metro",7,8,8,8
"5","09/27/2021","08027",39,"Custer County","CO",42.1,2136,2136,46.4,2110,48.3,1149,68.7,97.4,2294,45.3,2293,49.8,2254,51.6,1194,71.4,"A",3,3,3,3,"Non-metro",7,7,7,7
"6","09/27/2021","12053",39,"Hernando County","FL",47.2,91533,91532,53.4,87720,55.3,40833,76.5,98.7,104369,53.8,104354,60.9,99792,62.9,44478,83.4,"C",11,12,12,12,"Metro",3,4,4,4
"7","09/27/2021","48069",39,"Castro County","TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D",NA,NA,NA,NA,"Non-metro",NA,NA,NA,NA
"8","09/27/2021","06023",39,"Humboldt County","CA",56.2,76157,76000,64.1,71510,65.1,20239,80.3,97.4,85979,63.4,85743,72.3,80363,73.1,22747,90.3,"D",16,16,16,16,"Non-metro",8,8,8,8
"9","09/27/2021","39069",39,"Henry County","OH",47.5,12839,12839,55.9,12257,59,4534,87.7,98.7,13380,49.5,13380,58.2,12673,61.1,4636,89.7,"A",3,4,4,4,"Non-metro",7,8,8,8
"10","09/27/2021","18067",39,"Howard County","IN",41.9,34555,34555,49.2,33103,51.9,12684,77.3,98.8,37436,45.4,37436,53.3,35697,55.9,13127,80,"B",7,7,8,8,"Metro",3,3,4,4
"11","09/27/2021","31153",39,"Sarpy County","NE",54.1,101237,101226,65.9,91271,67,20259,89.4,89.5,106975,57.1,NA,0,NA,0,NA,0,"A",4,4,4,4,"Metro",4,4,4,4
"12","09/27/2021","42103",39,"Pike County","PA",49.6,27692,27687,55.3,26096,56.6,9201,70.2,94.4,33620,60.2,33609,67.1,31490,68.3,11383,86.8,"A",3,4,4,4,"Metro",3,4,4,4
"13","09/27/2021","48179",39,"Gray County","TX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D",NA,NA,NA,NA,"Non-metro",NA,NA,NA,NA
"14","09/27/2021","53013",39,"Columbia County","WA",40.2,1602,1602,45.5,1531,46.8,677,59.7,96,1837,46.1,1837,52.1,1761,53.9,787,69.4,"B",7,7,7,7,"Metro",3,3,3,3
"15","09/27/2021","42085",39,"Mercer County","PA",49.4,54036,54035,56.1,52187,59,20434,84,94.4,60686,55.5,60680,63,58209,65.8,21908,90.1,"C",11,12,12,12,"Metro",3,4,4,4
"16","09/27/2021","29171",39,"Putnam County","MO",28.6,1343,1343,33.6,1321,36.3,628,53.7,91.2,1456,31,1456,36.4,1428,39.2,642,54.9,"C",9,10,10,11,"Non-metro",5,6,6,7
"17","09/27/2021","06097",39,"Sonoma County","CA",66.8,330286,329502,76,306896,76.9,85464,83.5,97.4,372108,75.3,370947,85.6,344927,86.5,96437,94.2,"B",8,8,8,8,"Metro",4,4,4,4
"18","09/27/2021","29115",39,"Linn County","MO",40.7,4857,4857,47.8,4691,51.3,1925,75.5,91.2,5443,45.7,5442,53.5,5244,57.4,2093,82.1,"B",7,7,8,8,"Non-metro",7,7,8,8
"19","09/27/2021","27035",39,"Crow Wing County","MN",49,31896,31852,56.8,30398,59.4,12965,86.7,94.1,34473,53,34415,61.4,32796,64.1,13778,92.2,"A",3,4,4,4,"Non-metro",7,8,8,8
"20","09/27/2021","08113",39,"San Miguel County","CO",72.6,5938,5928,81.4,5505,81.4,985,77.9,97.4,6665,81.5,6645,91.2,6135,90.7,1036,81.9,"A",4,4,4,4,"Non-metro",8,8,8,8
"21","09/27/2021","55065",39,"Lafayette County","WI",53.1,8851,8851,62.8,8378,66.1,2977,92.2,97,9425,56.6,9424,66.8,8868,69.9,3053,94.5,"A",4,4,4,4,"Non-metro",8,8,8,8
"22","09/27/2021","19015",39,"Boone County","IA",56.9,14935,14935,65.6,13908,67.2,4612,92.5,97.5,15730,60,15730,69.1,14617,70.6,4738,95,"A",4,4,4,4,"Non-metro",8,8,8,8
"23","09/27/2021","39043",39,"Erie County","OH",52.4,38932,38931,60.2,37425,63.1,14346,85.7,98.7,41079,55.3,41078,63.5,39317,66.3,14645,87.4,"B",8,8,8,8,"Non-metro",8,8,8,8
"24","09/27/2021","29025",39,"Caldwell County","MO",33.8,3050,3050,39.6,2914,42.1,1184,65.4,91.2,3370,37.4,3370,43.7,3203,46.3,1256,69.4,"B",6,6,7,7,"Metro",2,2,3,3
"25","09/27/2021","46099",39,"Minnehaha County","SD",51.8,100032,100031,62.8,93473,64.7,21673,83.2,84.6,108162,56,NA,0,NA,0,NA,0,"B",8,8,8,8,"Metro",4,4,4,4
"26","09/27/2021","30095",39,"Stillwater County","MT",36.8,3545,3544,42.1,3471,45.6,1653,72.9,95.6,3885,40.3,3885,46.1,3797,49.9,1747,77,"A",2,3,3,4,"Non-metro",6,7,7,8
"27","09/27/2021","22125",39,"West Feliciana Parish","LA",79.5,12384,12383,89.2,11927,91.7,3158,99.9,96.6,13746,88.3,13744,98.9,13190,99.9,3325,99.9,"C",12,12,12,12,"Metro",4,4,4,4
"28","09/27/2021","08047",39,"Gilpin County","CO",51.8,3236,3234,56.6,3075,57.7,847,76.2,97.4,3542,56.7,3534,61.9,3359,63,902,81.1,"A",4,4,4,4,"Metro",4,4,4,4
"29","09/27/2021","20095",39,"Kingman County","KS",41.6,2972,2972,48.3,2865,51.5,1199,77.8,93.7,3235,45.2,3235,52.6,3108,55.9,1271,82.4,"A",3,3,4,4,"Metro",3,3,4,4
